Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,Photo_Label,PhotoID,Horizontal(mm),,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0033,35,0.084,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0033,36,0.089,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0034,37,0.087,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0034,38,0.086,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0035,40,0.082,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0038,44,0.083,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0039,45,0.081,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0040,46,0.089,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0041,47,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0042,48,0.087,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0043,49,0.083,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0044,50,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,,blast_exp1_b2-0045,51,0.083,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0013,12,0.089,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0014,13,0.088,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0017,16,0.084,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0018,18,0.086,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0020,20,0.089,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0023,23,0.089,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0030,31,0.087,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0036,37,0.090,,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,,blast_exp1_b4-0037,38,0.094,,,,,,,,,,,,,,,,,,
