Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,total,abn_count,ratio,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,22,5,0.227,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,14,14,1.000,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,65,2,0.031,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,2,2,1.000,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,70,13,0.186,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,23,2,0.087,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B14,Exp1_B14,Trp,P1,C,Nonurban,62,1,0.016,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B20,Exp1_B20,Trp,P3,C,Nonurban,57,4,0.070,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B22,Exp1_B22,Twp,P4,C,Nonurban,70,16,0.229,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B23,Exp1_B23,Wh,P2,C,Urban,34,7,0.206,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B24,Exp1_B24,Trp,P1,NP,Nonurban,19,19,1.000,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B26,Exp1_B26,Twp,P2,C,Nonurban,19,2,0.105,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B29,Exp1_B29,Trp,P2,C,Nonurban,64,43,0.672,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B30,Exp1_B30,Wh,P1,C,Urban,49,10,0.204,,,,,,,,,,,,,,,,,
Pluteus,Exp1,B31,Exp1_B31,Cab,P4,C,Urban,1,0,0.000,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B1,Exp2_B1,Cab,P5,C,Urban,63,5,0.079,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B2,Exp2_B2,Wh,P7,NP,Urban,9,9,1.000,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B3,Exp2_B3,Cab,P6,NP,Urban,18,18,1.000,,,,,,,,,,,,,,,,,
Pluteus,Exp2,B4,Exp2_B4,Trp,P6,NP,Nonurban,27,20,0.741,,,,,,,,,,,,,,,,,
