Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,PhotoID,SampleID,Height_mm,Stomach_Length_mm
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0025,25,0.089,0.058
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0002,1,0.099,0.077
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0003,2,0.086,0.056
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0004,3,0.09,0.044
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0006,5,0.087,0.052
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0007,6,0.086,0.055
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0008,7,0.094,0.049
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0009,11,0.088,0.06
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0014,13,0.098,0.066
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0015,14,0.078,0.046
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0016,15,0.094,0.054
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0017,16,0.089,0.068
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0018,17,0.092,0.064
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0024,22,0.082,0.062
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0026,24,0.093,0.068
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0029,28,0.083,0.052
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0032,30,0.078,0.05
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0035,32,0.088,0.051
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0036,34,0.085,0.059
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0039,37,0.09,0.059
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0041,39,0.091,0.058
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0046,47,0.094,0.055
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0047,48,0.082,0.047
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0050,51,0.087,0.054
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0051,52,0.098,0.063
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0056,57,0.099,0.056
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0057,59,0.087,0.063
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0061,62,0.082,0.044
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0062,63,0.09,0.05
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0063,64,0.081,0.056
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0063,65,0.072,0.055
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0064,66,0.078,0.057
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0065,67,0.077,0.06
Gastrula,Exp1,B4,Exp1_B4,Trp,P2,NP,Nonurban,gast_exp1_b4-0009,8,0.098,0.05
Gastrula,Exp1,B4,Exp1_B4,Trp,P2,NP,Nonurban,gast_exp1_b4-0027,27,0.086,0.053
Gastrula,Exp1,B4,Exp1_B4,Trp,P2,NP,Nonurban,gast_exp1_b4-0074,76,0.098,0.052
Gastrula,Exp1,B4,Exp1_B4,Trp,P2,NP,Nonurban,gast_exp1_b4-0079,82,0.089,0.058
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0002,1,0.128,0.101
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0002,2,0.107,0.087
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0003,3,0.107,0.061
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1-b5-0005,5,0.095,0.071
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0006,1-Jun,0.112,0.091
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0007,2-Jun,0.111,0.079
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0007,7,0.1,0.077
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0008,8,0.103,0.076
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0009,10,0.103,0.083
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0010,11,0.115,0.091
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0011,12,0.116,0.083
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0012,13,0.112,0.074
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0013,14,0.112,0.071
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0014,15,0.109,0.055
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0015,16,0.119,0.07
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0016,17,0.114,0.096
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0017,18,0.096,0.056
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1-_b5-0019,20,0.123,0.088
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0020,21,0.112,0.085
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0021,23,0.121,0.075
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0022,25,0.118,0.088
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0023,26,0.11,0.092
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0024,27,0.1,0.055
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0025,28,0.119,0.081
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0025,29,0.12,0.065
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0026,30,0.098,0.052
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0027,31,0.119,0.085
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0028,32,0.101,0.065
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0028,33,0.12,0.106
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0029,34,0.118,0.084
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0030,35,0.104,0.077
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0031,36,0.123,0.102
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0032,37,0.126,0.078
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0033,38,0.107,0.086
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0034,39,0.111,0.087
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0034,40,0.128,0.102
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0035,41,0.101,0.075
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0036,42,0.11,0.084
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0038,44,0.119,0.08
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0039,45,0.098,0.046
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0040,46,0.093,0.055
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0041,47,0.098,0.047
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0042,49,0.122,0.1
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0044,51,0.109,0.092
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0046,53,0.1,0.082
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0046,54,0.096,0.048
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0047,55,0.108,0.069
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0049,57,0.104,0.069
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0050,58,0.106,0.078
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0050,59,0.116,0.098
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0051,60,0.11,0.085
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0053,61,0.104,0.066
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0055,63,0.107,0.083
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0055,64,0.108,0.084
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0057,66,0.105,0.071
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0058,67,0.1,0.073
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0059,68,0.106,0.084
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0060,69,0.102,0.073
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0060,70,0.111,0.075
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0061,71,0.1,0.077
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0061,72,0.113,0.066
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0062,73,0.097,0.051
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0063,74,0.115,0.094
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0064,75,0.107,0.086
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0065,76,0.112,0.07
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0068,78,0.093,0.076
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0069,79,0.104,0.074
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0070,81,0.095,0.047
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,gast_exp1_b5-0071,82,0.113,0.071
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0003,2,0.081,0.044
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0004,3,0.089,0.058
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0005,4,0.087,0.059
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0006,5,0.087,0.05
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0008,8,0.081,0.053
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0010,10,0.085,0.047
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0011,11,0.097,0.054
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0013,13,0.087,0.044
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0020,20,0.085,0.057
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0023,23,0.09,0.058
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0026,26,0.096,0.069
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0034,34,0.093,0.08
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0035,35,0.095,0.081
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0035,36,0.098,0.065
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0037,38,0.083,0.054
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0038,39,0.095,0.06
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0038,40,0.092,
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0041,44,0.087,0.051
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0042,45,0.077,0.045
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0044,47,0.095,0.069
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0045,48,0.095,0.066
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0047,50,0.09,0.051
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,gast_exp1-b8-0049,52,0.091,0.043
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0001,1,0.097,0.058
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0004,3,0.096,0.054
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0004,4,0.085,0.059
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0009,8,0.098,0.07
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0010,9,0.091,0.061
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0013,12,0.081,0.059
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0014,13,0.099,0.059
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0015,14,0.081,0.061
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0017,16,0.09,0.051
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0019,18,0.089,0.056
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0022,21,0.091,0.059
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0023,23,0.092,0.061
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0026,26,0.091,0.055
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0027,27,0.094,0.066
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0031,32,0.106,0.057
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0033,34,0.101,0.075
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0034,35,0.091,0.052
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0035,36,0.098,0.063
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0036,37,0.082,0.049
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0037,38,0.106,0.061
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0037,39,0.1,0.064
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0040,41,0.094,0.063
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0044,46,0.108,0.067
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0047,49,0.1,0.069
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0050,52,0.08,0.053
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0052,54,0.105,0.064
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0053,55,0.109,0.073
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0054,57,0.093,0.056
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0057,60,0.089,0.054
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0059,62,0.109,0.064
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0062,64,0.089,0.056
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0062,65,0.099,0.078
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0063,66,0.095,0.059
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0066,69,0.092,0.064
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0067,70,0.107,0.064
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0067,71,0.092,0.065
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0070,75,0.093,0.073
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0071,76,0.089,0.055
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0076,81,0.088,0.057
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0080,85,0.099,0.06
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0081,86,0.094,0.061
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0082,91,0.089,0.059
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0083,92,0.092,0.07
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0084,93,0.095,0.064
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0086,95,0.09,0.044
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0087,96,0.103,0.07
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0089,98,0.09,0.057
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0091,100,0.094,0.061
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0092,101,0.089,0.054
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0092,102,0.088,0.062
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0093,103,0.086,0.048
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0095,105,0.085,0.053
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0097,107,0.082,0.048
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0098,108,0.081,0.049
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0100,110,0.102,0.064
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0101,112,0.102,0.066
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0102,113,0.104,0.079
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0102,114,0.087,0.059
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0105,116,0.081,0.054
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0107,118,0.09,0.057
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0108,119,0.107,0.064
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0111,122,0.091,0.056
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0111,123,0.087,0.05
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0111,124,0.083,0.057
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0112,125,0.1,0.075
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,gast_exp1_b11-0112,126,0.071,0.048
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,gast_exp1_b12-0002,1,0.084,0.058
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,gast_exp1_b12-0005,4,0.085,0.062
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,gast_exp1_b12-0006,5,0.092,0.08
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,gast_exp1_b12-0008,7,0.081,0.055
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,gast_exp1_b12-0009,8,0.093,0.074
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,gast_exp1_b12-0009,9,0.083,0.066
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,gast_exp1_b12-0016,16,0.089,0.066
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,gast_exp1_b12-0017,18,0.098,0.061
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,gast_exp1_b12-0019,21,0.085,0.063
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,gast_exp1_b12-0030,35,0.085,0.056
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,gast_exp1_b12-0036,41,0.075,0.047
Gastrula,Exp1,B12,Exp1_B12,Wh,P3,C,Urban,gast_exp1_b12-0037,42,0.089,0.071
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0002,1,0.114,0.092
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0003,2,0.116,0.081
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0004,3,0.115,0.096
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0005,4,0.111,0.094
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0006,5,0.128,0.105
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0006,6,0.133,0.094
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0009,9,0.111,0.082
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0011,11,0.125,0.109
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0012,12,0.11,0.089
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0013,13,0.085,0.07
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0014,14,0.122,0.098
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0015,15,0.125,0.104
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0016,16,0.113,0.093
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0017,17,0.122,0.102
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0018,18,0.118,0.1
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0020,20,0.107,0.095
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0022,22,0.115,0.075
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0023,23,0.089,0.05
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0024,24,0.113,0.09
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0025,25,0.115,0.097
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0026,26,0.118,0.094
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0028,28,0.111,0.092
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0029,29,0.113,0.078
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0030,30,0.1,0.078
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0031,31,0.116,0.072
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0032,32,0.128,0.107
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0033,33,0.116,0.1
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0036,35,0.121,0.099
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,gast_exp1_b13-0037,36,0.114,0.093
