Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,total,abn_count,ratio,,,,,,,,,,,,,,,,,
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,71,17,0.23943662,,,,,,,,,,,,,,,,,
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,65,48,0.738461538,,,,,,,,,,,,,,,,,
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,132,33,0.25,,,,,,,,,,,,,,,,,
Blastula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,124,23,0.185483871,,,,,,,,,,,,,,,,,
Blastula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,101,14,0.138613861,,,,,,,,,,,,,,,,,
Blastula,Exp1,B14,Exp1_B14,Trp,P1,C,Nonurban,144,6,0.041666667,,,,,,,,,,,,,,,,,
Blastula,Exp1,B15,Exp1_B15,Twp,P4,NP,Nonurban,136,81,0.595588235,,,,,,,,,,,,,,,,,
Blastula,Exp1,B17,Exp1_B17,Twp,P1,NP,Nonurban,108,16,0.148148148,,,,,,,,,,,,,,,,,
Blastula,Exp1,B18,Exp1_B18,Wh,P2,NP,Urban,2,0,0,,,,,,,,,,,,,,,,,
Blastula,Exp1,B19,Exp1_B19,Cab,P4,NP,Urban,128,10,0.078125,,,,,,,,,,,,,,,,,
Blastula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,52,12,0.230769231,,,,,,,,,,,,,,,,,
Blastula,Exp1,B20,Exp1_B20,Trp,P3,C,Nonurban,80,26,0.325,,,,,,,,,,,,,,,,,
Blastula,Exp1,B21,Exp1_B21,Wh,P1,NP,Urban,123,44,0.357723577,,,,,,,,,,,,,,,,,
Blastula,Exp1,B22,Exp1_B22,Twp,P4,C,Nonurban,92,24,0.260869565,,,,,,,,,,,,,,,,,
Blastula,Exp1,B23,Exp1_B23,Wh,P2,C,Urban,115,44,0.382608696,,,,,,,,,,,,,,,,,
Blastula,Exp1,B24,Exp1_B24,Trp,P1,NP,Nonurban,108,7,0.064814815,,,,,,,,,,,,,,,,,
Blastula,Exp1,B25,Exp1_B25,Cab,P1,NP,Urban,110,29,0.263636364,,,,,,,,,,,,,,,,,
Blastula,Exp1,B26,Exp1_B26,Twp,P2,C,Nonurban,69,15,0.217391304,,,,,,,,,,,,,,,,,
Blastula,Exp1,B27,Exp1_B27,Cab,P3,NP,Urban,159,54,0.339622642,,,,,,,,,,,,,,,,,
Blastula,Exp1,B28,Exp1_B28,Trp,P4,NP,Nonurban,144,63,0.4375,,,,,,,,,,,,,,,,,
Blastula,Exp1,B29,Exp1_B29,Trp,P2,C,Nonurban,143,25,0.174825175,,,,,,,,,,,,,,,,,
Blastula,Exp1,B30,Exp1_B30,Wh,P1,C,Urban,78,22,0.282051282,,,,,,,,,,,,,,,,,
Blastula,Exp1,B31,Exp1_B31,Cab,P4,C,Urban,85,7,0.082352941,,,,,,,,,,,,,,,,,
Blastula,Exp1,B32,Exp1_B32,Twp,P3,NP,Nonurban,88,73,0.829545455,,,,,,,,,,,,,,,,,
Blastula,Exp1,B4,Exp1_B4,Trp,P2,NP,Nonurban,164,129,0.786585366,,,,,,,,,,,,,,,,,
Blastula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,103,20,0.194174757,,,,,,,,,,,,,,,,,
Blastula,Exp1,B7,Exp1_B7,Trp,P3,NP,Nonurban,161,155,0.962732919,,,,,,,,,,,,,,,,,
Blastula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,124,6,0.048387097,,,,,,,,,,,,,,,,,
Blastula,Exp2,B1,Exp2_B1,Cab,P5,C,Urban,82,9,0.109756098,,,,,,,,,,,,,,,,,
Blastula,Exp2,B2,Exp2_B2,Wh,P7,NP,Urban,67,11,0.164179104,,,,,,,,,,,,,,,,,
Blastula,Exp2,B3,Exp2_B3,Cab,P6,NP,Urban,45,19,0.422222222,,,,,,,,,,,,,,,,,
Blastula,Exp2,B4,Exp2_B4,Trp,P6,NP,Nonurban,119,13,0.109243697,,,,,,,,,,,,,,,,,
Blastula,Exp2,B5,Exp2_B5,Twp,P7,C,Nonurban,108,10,0.092592593,,,,,,,,,,,,,,,,,
Blastula,Exp2,B6,Exp2_B6,Wh,P8,C,Urban,64,16,0.25,,,,,,,,,,,,,,,,,
Blastula,Exp2,B7,Exp2_B7,Trp,P7,NP,Nonurban,100,9,0.09,,,,,,,,,,,,,,,,,
Blastula,Exp2,B8,Exp2_B8,Twp,P5,C,Nonurban,42,12,0.285714286,,,,,,,,,,,,,,,,,
Blastula,Exp2,B9,Exp2_B9,Wh,P8,NP,Urban,69,26,0.376811594,,,,,,,,,,,,,,,,,
Blastula,Exp2,B10,Exp2_B10,Twp,P6,NP,Nonurban,87,7,0.08045977,,,,,,,,,,,,,,,,,
Blastula,Exp2,B11,Exp2_B11,Cab,P7,C,Urban,65,23,0.353846154,,,,,,,,,,,,,,,,,
Blastula,Exp2,B12,Exp2_B12,Trp,P8,C,Nonurban,74,16,0.216216216,,,,,,,,,,,,,,,,,
Blastula,Exp2,B13,Exp2_B13,Wh,P7,C,Urban,73,14,0.191780822,,,,,,,,,,,,,,,,,
Blastula,Exp2,B14,Exp2_B14,Trp,P5,C,Nonurban,87,9,0.103448276,,,,,,,,,,,,,,,,,
Blastula,Exp2,B16,Exp2_B16,Cab,P6,C,Urban,121,47,0.388429752,,,,,,,,,,,,,,,,,
Blastula,Exp2,B17,Exp2_B17,Twp,P5,NP,Nonurban,88,5,0.056818182,,,,,,,,,,,,,,,,,
Blastula,Exp2,B18,Exp2_B18,Wh,P6,NP,Urban,119,10,0.084033613,,,,,,,,,,,,,,,,,
Blastula,Exp2,B19,Exp2_B19,Cab,P8,NP,Urban,111,31,0.279279279,,,,,,,,,,,,,,,,,
Blastula,Exp2,B20,Exp2_B20,Trp,P7,C,Nonurban,115,4,0.034782609,,,,,,,,,,,,,,,,,
Blastula,Exp2,B21,Exp2_B21,Wh,P5,NP,Urban,106,10,0.094339623,,,,,,,,,,,,,,,,,
Blastula,Exp2,B23,Exp2_B23,Wh,P6,C,Urban,96,12,0.125,,,,,,,,,,,,,,,,,
Blastula,Exp2,B24,Exp2_B24,Trp,P5,NP,Nonurban,71,12,0.169014085,,,,,,,,,,,,,,,,,
Blastula,Exp2,B25,Exp2_B25,Cab,P5,NP,Urban,81,7,0.086419753,,,,,,,,,,,,,,,,,
Blastula,Exp2,B26,Exp2_B26,Twp,P6,C,Nonurban,99,13,0.131313131,,,,,,,,,,,,,,,,,
Blastula,Exp2,B27,Exp2_B27,Cab,P7,NP,Urban,71,9,0.126760563,,,,,,,,,,,,,,,,,
Blastula,Exp2,B28,Exp2_B28,Trp,P8,NP,Nonurban,81,18,0.222222222,,,,,,,,,,,,,,,,,
Blastula,Exp2,B29,Exp2_B29,Trp,P6,C,Nonurban,140,26,0.185714286,,,,,,,,,,,,,,,,,
Blastula,Exp2,B30,Exp2_B30,Wh,P5,C,Urban,47,20,0.425531915,,,,,,,,,,,,,,,,,
Blastula,Exp2,B31,Exp2_B31,Cab,P8,C,Urban,43,15,0.348837209,,,,,,,,,,,,,,,,,
Blastula,Exp2,B32,Exp2_B32,Twp,P7,NP,Nonurban,106,15,0.141509434,,,,,,,,,,,,,,,,,
Blastula,Exp3,B1,Exp3_B1,Cab,P9,C,Urban,83,31,0.373493976,,,,,,,,,,,,,,,,,
Blastula,Exp3,B2,Exp3_B2,Wh,P11,NP,Urban,121,26,0.214876033,,,,,,,,,,,,,,,,,
Blastula,Exp3,B3,Exp3_B3,Cab,P10,NP,Urban,144,13,0.090277778,,,,,,,,,,,,,,,,,
Blastula,Exp3,B4,Exp3_B4,Trp,P10,NP,Nonurban,89,10,0.112359551,,,,,,,,,,,,,,,,,
Blastula,Exp3,B7,Exp3_B7,Trp,P11,NP,Nonurban,166,16,0.096385542,,,,,,,,,,,,,,,,,
Blastula,Exp3,B8,Exp3_B8,Twp,P9,C,Nonurban,134,37,0.276119403,,,,,,,,,,,,,,,,,
Blastula,Exp3,B10,Exp3_B10,Twp,P10,NP,Nonurban,147,11,0.074829932,,,,,,,,,,,,,,,,,
Blastula,Exp3,B11,Exp3_B11,Cab,P11,C,Urban,87,43,0.494252874,,,,,,,,,,,,,,,,,
Blastula,Exp3,B13,Exp3_B13,Wh,P11,C,Urban,170,56,0.329411765,,,,,,,,,,,,,,,,,
Blastula,Exp3,B14,Exp3_B14,Trp,P9,C,Nonurban,128,32,0.25,,,,,,,,,,,,,,,,,
Blastula,Exp3,B16,Exp3_B16,Cab,P10,C,Urban,72,12,0.166666667,,,,,,,,,,,,,,,,,
Blastula,Exp3,B17,Exp3_B17,Twp,P9,NP,Nonurban,44,4,0.090909091,,,,,,,,,,,,,,,,,
Blastula,Exp3,B18,Exp3_B18,Wh,P10,NP,Urban,76,16,0.210526316,,,,,,,,,,,,,,,,,
Blastula,Exp3,B19,Exp3_B19,Cab,P12,NP,Urban,88,13,0.147727273,,,,,,,,,,,,,,,,,
Blastula,Exp3,B20,Exp3_B20,Trp,P11,C,Nonurban,123,11,0.089430894,,,,,,,,,,,,,,,,,
Blastula,Exp3,B21,Exp3_B21,Wh,P9,NP,Urban,95,7,0.073684211,,,,,,,,,,,,,,,,,
Blastula,Exp3,B23,Exp3_B23,Wh,P10,C,Urban,94,36,0.382978723,,,,,,,,,,,,,,,,,
Blastula,Exp3,B24,Exp3_B24,Trp,P9,NP,Nonurban,122,25,0.204918033,,,,,,,,,,,,,,,,,
Blastula,Exp3,B25,Exp3_B25,Cab,P9,NP,Urban,109,22,0.201834862,,,,,,,,,,,,,,,,,
Blastula,Exp3,B26,Exp3_B26,Twp,P10,C,Nonurban,135,9,0.066666667,,,,,,,,,,,,,,,,,
Blastula,Exp3,B27,Exp3_B27,Cab,P11,NP,Urban,100,24,0.24,,,,,,,,,,,,,,,,,
Blastula,Exp3,B29,Exp3_B29,Trp,P10,C,Nonurban,101,16,0.158415842,,,,,,,,,,,,,,,,,
Blastula,Exp3,B30,Exp3_B30,Wh,P9,C,Urban,63,9,0.142857143,,,,,,,,,,,,,,,,,
Blastula,Exp3,B31,Exp3_B31,Cab,P12,C,Urban,130,38,0.292307692,,,,,,,,,,,,,,,,,
Blastula,Exp4,B1,Exp4_B1,Cab,P13,C,Urban,74,4,0.054054054,,,,,,,,,,,,,,,,,
Blastula,Exp4,B3,Exp4_B3,Cab,P14,NP,Urban,117,11,0.094017094,,,,,,,,,,,,,,,,,
Blastula,Exp4,B5,Exp4_B5,Wh,P13,C,Urban,79,6,0.075949367,,,,,,,,,,,,,,,,,
Blastula,Exp4,B6,Exp4_B6,Cab,P16,C,Urban,83,3,0.036144578,,,,,,,,,,,,,,,,,
Blastula,Exp4,B7,Exp4_B7,Trp,P13,NP,Nonurban,90,2,0.022222222,,,,,,,,,,,,,,,,,
Blastula,Exp4,B8,Exp4_B8,Wh,P14,C,Urban,109,8,0.073394495,,,,,,,,,,,,,,,,,
Blastula,Exp4,B9,Exp4_B9,Cab,P15,NP,Urban,125,7,0.056,,,,,,,,,,,,,,,,,
Blastula,Exp4,B10,Exp4_B10,Wh,P13,NP,Urban,81,3,0.037037037,,,,,,,,,,,,,,,,,
Blastula,Exp4,B11,Exp4_B11,Cab,P15,C,Urban,99,13,0.131313131,,,,,,,,,,,,,,,,,
Blastula,Exp4,B14,Exp4_B14,Trp,P13,C,Nonurban,41,4,0.097560976,,,,,,,,,,,,,,,,,
Blastula,Exp4,B15,Exp4_B15,Cab,P13,NP,Urban,138,13,0.094202899,,,,,,,,,,,,,,,,,
Blastula,Exp4,B16,Exp4_B16,Cab,P14,C,Urban,102,3,0.029411765,,,,,,,,,,,,,,,,,
Blastula,Exp4,B17,Exp4_B17,Cab,P16,NP,Urban,97,6,0.06185567,,,,,,,,,,,,,,,,,
Blastula,Exp4,B18,Exp4_B18,Wh,P14,NP,Urban,92,11,0.119565217,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
